extras_10uid_bi_strs,extras_title_en_txts,extras_pkuniqueidcode_bi_strs,extras_statusf_en_strs,Load to OLC,extras_productidnew_bi_strs,
primary130675,"Profile of Census Divisions and Subdivisions in Alberta, 2001 Census",cens_tbtp95-223-x_12,Discontinued/Not available,,95-223-X,
primary130707,"Profile of Census Tracts in Greater Sudbury, North Bay, Sault Ste. Marie and Thunder Bay, 2001 Census",cens_tbtp95-239-x_12,Discontinued/Not available,,95-239-X,
primary130712,"Profile of Census Tracts in Regina and Saskatoon, 2001 Census",cens_tbtp95-242-x_12,Discontinued/Not available,,95-242-X,
primary130708,"Profile of Census Tracts in Toronto, 2001 Census",cens_tbtp95-240-x_12,Discontinued/Not available,,95-240-X,
primary130710,"Profile of Census Tracts in Winnipeg, 2001 Census",cens_tbtp95-241-x_12,Discontinued/Not available,,95-241-X,
primary130753,Profile of Census Tracts in Halifax - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-315-x_12,Discontinued/Not available,,95-315-X,
primary130751,Profile of Census Tracts in Halifax - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-314-x_12,Discontinued/Not available,,95-314-X,
primary130749,Profile of Census Divisions and Subdivisions in Nova Scotia - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-313-x_12,Discontinued/Not available,,95-313-X,
primary130747,Profile of Census Divisions and Subdivisions in Nova Scotia - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-312-x_12,Discontinued/Not available,,95-312-X,
primary136271,Profile of Census Tracts in St.John's (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-194-x_12,Discontinued/Not available,,95-194-X,
primary135358,Profile of Census Tracts in Hamilton - Part B  (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-342-x_12,Discontinued/Not available,,95-342-X,
primary136265,Newfoundland. Part 2,cens_tbtp94-102-x_12,Discontinued/Not available,,94-102-X,
primary136170,Newfoundland. Part 1,cens_tbtp94-101-x_12,Discontinued/Not available,,94-101-X,
primary135770,"Aboriginal People - Employment Equity Fact Sheets, 1986 Census",cens_tbtp89f0025x_12,Discontinued/Not available,,89F0025X,
primary128390,Profile of Census Tracts in Calgary - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-375-x_12,Discontinued/Not available,,95-375-X,
primary128392,Profile of Census Tracts in Edmonton - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-377-x_12,Discontinued/Not available,,95-377-X,
primary128387,Profile of Census Divisions and Subdivisions in Alberta - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-373-x_12,Discontinued/Not available,,95-373-X,
primary133681,Manitoba. Part 1,cens_tbtp94-113-x_12,Discontinued/Not available,,94-113-X,
primary130003,Mobility and Migration (Data Products: Nation Series: 1991 Census of Population),cens_tbtp93-322-x_12,Discontinued/Not available,,93-322-X,
primary130005,Place of Work (Data Products: Nation Series: 1991 Census of Population),cens_tbtp93-323-x_12,Discontinued/Not available,,93-323-X,
primary128828,Profile of Census Tracts in Regina and Saskatoon - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-367-x_12,Discontinued/Not available,,95-367-X,
primary130012,Occupation (Data Products: Nation Series: 1991 Census of Population),cens_tbtp93-327-x_12,Discontinued/Not available,,93-327-X,
primary130001,Fertility (Data Products: Nation Series: 1991 Census of Population),cens_tbtp93-321-x_12,Discontinued/Not available,,93-321-X,
primary129998,Religions in Canada (Data Products: Nation Series: 1991 Census of Population),cens_tbtp93-319-x_12,Discontinued/Not available,,93-319-X,
primary128287,"Profile of Census Tracts in North Bay, Sault Ste. Marie, Sudbury and Thunder Bay - Part B (Area Profile Series: Data Products: 1991 Census of Population)",cens_tbtp95-349-x_12,Discontinued/Not available,,95-349-X,
primary128278,"Profile of Census Tracts in London, Sarnia - Clearwater and Windsor - Part B (Area Profile Series: Data Products: 1991 Census of Population)",cens_tbtp95-347-x_12,Discontinued/Not available,,95-347-X,
primary128282,"Profile of Census Tracts in North Bay, Sault Ste. Marie, Sudbury and Thunday Bay - Part A (Area Profile Series: Data Products: 1991 Census of Population)",cens_tbtp95-348-x_12,Discontinued/Not available,,95-348-X,
primary128273,"Profile of Census Tracts in London, Sarnia - Clearwater and Windsor - Part A (Area Profile Series: Data Products: 1991 Census of Population)",cens_tbtp95-346-x_12,Discontinued/Not available,,95-346-X,
primary128234,Agricultural Profile of Quebec - Part 2 (Data Products: 1991 Census of Agriculture),cens_tbtp95-336-x_12,Discontinued/Not available,,95-336-X,
primary128226,Profile of Census Tracts in Québec - Part B  (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-333-x_12,Discontinued/Not available,,95-333-X,
primary128240,Profile of Census Divisions and Subdivisions in Ontario - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-338-x_12,Discontinued/Not available,,95-338-X,
primary128236,Profile of Census Divisions and Subdivisions in Ontario - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-337-x_12,Discontinued/Not available,,95-337-X,
primary124397,Family Income in Canada (Focus on Canada Series: Analytical Products: 1991 Census of Population),cens_tbtp96-318-x_12,Discontinued/Not available,,96-318-X,
primary125235,Population Estimates by First Official Language Spoken (Dimensions Series: Data Products: 1991 Census of Population),cens_tbtp94-320-x_12,Discontinued/Not available,,94-320-X,
primary123071,The labour force participation of immigrants,article11-008-x19860022441_12,,Do not load to OLC,11-008-X19860022441,
primary123285,Reading skills of the immigrant population,article11-008-x19920021274_12,,Do not load to OLC,11-008-X19920021274,
primary123173,Canada's immigrant population,article11-008-x19890021202_12,,Do not load to OLC,11-008-X19890021202,
primary123304,Canada's immigrants: Recent trends,article11-008-x19930011283_12,,Do not load to OLC,11-008-X19930011283,
primary123237,Immigration during the 1980s,article11-008-x19900041265_12,,Do not load to OLC,11-008-X19900041265,
primary123067,Immigration,article11-008-x19860022437_12,,Do not load to OLC,11-008-X19860022437,
primary125418,Population and Dwelling Counts - Place Name Lists - Quebec and Ontario  (Data Products: Population and Dwelling Counts: 1991 Census of Population),cens_tbtp93-308-x_12,Discontinued/Not available,,93-308-X,
primary126240,Population and Dwelling Counts - Unincorporated Places (Data Products: Population and Dwelling Counts: 1991 Census of Population),cens_tbtp93-306-x_12,Discontinued/Not available,,93-306-X,
primary126338,Quebec. Part 1,cens_tbtp94-109-x_12,Discontinued/Not available,,94-109-X,
primary126341,Quebec. Part 2,cens_tbtp94-110-x_12,Discontinued/Not available,,94-110-X,
primary130007,Labour Force Activity (Data Products: Nation Series: 1991 Census of Population),cens_tbtp93-324-x_12,Discontinued/Not available,,93-324-X,
primary129989,Occupied Private Dwellings (Data Products: Nation Series: 1991 Census of Population),cens_tbtp93-314-x_12,Discontinued/Not available,,93-314-X,
primary129991,Ethnic Origin (Data Products: Nation Series: 1991 Census of Population),cens_tbtp93-315-x_12,Discontinued/Not available,,93-315-X,
primary129121,Population and Dwelling Counts - Census Divisions and Census Subdivisions (Data Products: Population and Dwelling Counts: 1991 Census of Population),cens_tbtp93-304-x_12,Discontinued/Not available,,93-304-X,
primary128268,"Profile of Census Tracts in Kingston, Oshawa and Peterborough - Part B  (Area Profile Series: Data Products: 1991 Census of Population)",cens_tbtp95-345-x_12,Discontinued/Not available,,95-345-X,
primary128264,"Profile of Census Tracts in Kingston, Oshawa and Peterborough - Part A (Area Profile Series: Data Products: 1991 Census of Population)",cens_tbtp95-344-x_12,Discontinued/Not available,,95-344-X,
primary128255,Profile of Census Tracts in Hamilton - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-341-x_12,Discontinued/Not available,,95-341-X,
primary128213,"Profile of Census Tracts in Chicoutimi - Jonquière, Sherbrooke and Trois-Rivières - Part B  (Area Profile Series: Data Products: 1991 Census of Population)",cens_tbtp95-328-x_12,Discontinued/Not available,,95-328-X,
primary127938,Profile of Census Tracts in Moncton and Saint John - Part B  (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-322-x_12,Discontinued/Not available,,95-322-X,
primary123327,Canada's refugee flows: Gender inequality,article11-008-x19930041420_12,,Do not load to OLC,11-008-X19930041420,
primary123175,Program choices of foreign university students,article11-008-x19890021204_12,,Do not load to OLC,11-008-X19890021204,
primary123390,International students in Canada,article11-008-x19960012572_12,,Do not load to OLC,11-008-X19960012572,
primary129993,Immigration and Citizenship (Data Products: Nation Series: 1991 Census of Population),cens_tbtp93-316-x_12,Discontinued/Not available,,93-316-X,
primary123379,The Chinese in Canada,article11-008-x19950032479_12,,Do not load to OLC,11-008-X19950032479,
primary123352,A history of emigration from Canada,article11-008-x19940031418_12,,Do not load to OLC,11-008-X19940031418,
primary127739,Canada's Melting Pot,article87-003-x19900042136_12,,Do not load to OLC,87-003-X19900042136,
primary127752,Immigration and international VFR travel,article87-003-x19910022150_12,,Do not load to OLC,87-003-X19910022150,
primary126694,Knowledge of Languages (Data Products: Nation Series: 1991 Census of Population),cens_tbtp93-318-x_12,Discontinued/Not available,,93-318-X,
primary126369,Language Retention and Transfer (Dimensions Series: Data Products: 1991 Census of Population),cens_tbtp94-319-x_12,Discontinued/Not available,,94-319-X,
primary128263,Public Libraries,publication87-205-x_12,Discontinued/Not available,Do not load to OLC,87-205-X,
primary128318,Agricultural Profile of Ontario - Part 2 (Data Products: 1991 Census of Agriculture),cens_tbtp95-357-x_12,Discontinued/Not available,,95-357-X,
primary129987,Mother Tongue (Data Products: Nation Series: 1991 Census of Population),cens_tbtp93-313-x_12,Discontinued/Not available,,93-313-X,
primary128292,Profile of Census Tracts in Ottawa - Hull - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-350-x_12,Discontinued/Not available,,95-350-X,
primary128869,Population and Dwelling Counts - Federal Electoral Districts (Data Products: Population and Dwelling Counts: 1991 Census of Population),cens_tbtp93-302-x_12,Discontinued/Not available,,93-302-X,
primary129087,"Visible Minorities - Employment Equity Fact Sheets, 1986 Census",cens_tbtp89f0026x_12,Discontinued/Not available,,89F0026X,
primary128251,"Profile of Census Tracts in Brantford, Guelph, Kitchener and St. Catharines -  Niagara - Part B  (Area Profile Series: Data Products: 1991 Census of Population)",cens_tbtp95-340-x_12,Discontinued/Not available,,95-340-X,
primary128245,"Profile of Census Tracts in Brantford, Guelph, Kitchener and St. Catharines - Niagara - Part A (Area Profile Series: Data Products: 1991 Census of Population)",cens_tbtp95-339-x_12,Discontinued/Not available,,95-339-X,
primary127255,Profile of Census Divisions and Subdivisions in Northwest Territories - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-397-x_12,Discontinued/Not available,,95-397-X,
primary127417,Profile of Census Divisions and Subdivisions in Northwest Territories - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-398-x_12,Discontinued/Not available,,95-398-X,
primary128220,Profile of Census Tracts in Montréal - Part B  (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-330-x_12,Discontinued/Not available,,95-330-X,
primary128222,Profile of Census Tracts in Québec - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-332-x_12,Discontinued/Not available,,95-332-X,
primary128217,Profile of Census Tracts in Montréal - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-329-x_12,Discontinued/Not available,,95-329-X,
primary127457,Profile of Census Divisions and Subdivisions in Saskatchewan - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-365-x_12,Discontinued/Not available,,95-365-X,
primary128902,Canadian suicide mortality rates: First-generation immigrants versus Canadian-born,article82-003-s19900041979_12,,Do not load to OLC,82-003-S19900041979,
primary123060,Foreign students,article11-008-x19860011314_12,,Do not load to OLC,11-008-X19860011314,
primary123351,Allophone immigrants: Language choices in the home,article11-008-x19940031417_12,,Do not load to OLC,11-008-X19940031417,
primary123364,Immigrants in Quebec,article11-008-x19950012355_12,,Do not load to OLC,11-008-X19950012355,
primary123328,Temporary residents of Canada,article11-008-x19930041421_12,,Do not load to OLC,11-008-X19930041421,
primary123266,Canada's immigrant children,article11-008-x19910041393_12,,Do not load to OLC,11-008-X19910041393,
primary125427,Dwellings and Households (Data Products: Nation Series: 1991 Census of Population),cens_tbtp93-311-x_12,Discontinued/Not available,,93-311-X,
